,sample,dina_par_0,dina_par_1,gdina_par_0,gdina_par_1,npc_par_0,npc_par_1,gnpc_par_0,gnpc_par_1,mlp_par_0,mlp_par_1,ann_par_0,ann_par_1,qnet_par_0,qnet_par_1
0,100,0.99,0.87,0.99,0.88,0.95,0.81,0.99,0.79,0.99,0.89,0.99,0.91,0.98,0.94
1,100,0.99,0.88,0.98,0.8,0.96,0.79,0.99,0.81,1.0,0.91,1.0,0.91,1.0,0.97
2,100,0.98,0.84,0.94,0.8,0.97,0.82,0.97,0.79,1.0,0.86,0.99,0.85,1.0,0.87
3,100,0.98,0.81,0.98,0.85,0.95,0.78,0.96,0.74,1.0,0.89,1.0,0.87,1.0,0.95
4,100,0.99,0.83,0.98,0.82,0.94,0.79,0.99,0.77,0.99,0.9,0.98,0.91,0.99,0.91
5,100,0.96,0.84,0.99,0.93,0.95,0.85,0.99,0.8,1.0,0.95,1.0,0.95,1.0,0.97
6,100,0.97,0.82,0.98,0.93,0.95,0.82,0.97,0.75,0.99,0.94,0.99,0.95,0.99,0.99
7,100,0.97,0.84,0.98,0.87,0.97,0.84,0.96,0.78,0.99,0.94,1.0,0.96,1.0,0.97
8,100,0.93,0.8,0.99,0.84,0.96,0.74,0.99,0.72,1.0,0.91,1.0,0.89,1.0,0.97
9,100,0.96,0.87,1.0,0.9,0.97,0.85,1.0,0.78,1.0,0.95,1.0,0.95,1.0,0.99
10,200,0.995,0.86,0.99,0.945,0.955,0.84,0.99,0.845,0.995,0.885,1.0,0.905,1.0,0.945
11,200,0.985,0.865,0.965,0.87,0.955,0.835,0.99,0.82,0.99,0.855,0.995,0.88,0.99,0.895
12,200,0.995,0.86,0.995,0.92,0.965,0.82,0.995,0.81,0.99,0.85,0.995,0.88,0.985,0.915
13,200,0.96,0.84,0.995,0.895,0.955,0.83,0.99,0.775,1.0,0.915,0.995,0.935,1.0,0.975
14,200,0.985,0.865,0.98,0.89,0.97,0.81,0.98,0.77,0.99,0.875,0.99,0.87,0.985,0.925
15,200,0.99,0.865,0.99,0.87,0.965,0.81,0.985,0.81,0.99,0.89,0.99,0.905,0.995,0.935
16,200,0.985,0.855,0.975,0.88,0.955,0.8,0.985,0.76,0.995,0.85,0.99,0.9,1.0,0.92
17,200,0.98,0.855,0.98,0.88,0.975,0.805,0.985,0.795,0.995,0.92,0.995,0.955,0.995,0.96
18,200,0.985,0.865,1.0,0.96,0.955,0.815,0.975,0.805,0.99,0.915,0.99,0.925,1.0,0.97
19,200,0.985,0.875,0.99,0.915,0.96,0.82,0.99,0.805,0.98,0.855,0.985,0.87,0.99,0.93
20,300,0.977,0.87,1.0,0.963,0.973,0.823,0.98,0.783,1.0,0.89,1.0,0.92,1.0,0.947
21,300,0.993,0.887,0.99,0.943,0.943,0.81,0.983,0.81,0.987,0.903,0.987,0.92,0.997,0.93
22,300,0.977,0.85,0.99,0.927,0.96,0.803,0.99,0.767,0.99,0.877,0.997,0.903,0.997,0.943
23,300,0.97,0.853,0.993,0.92,0.957,0.797,0.997,0.757,0.987,0.84,0.983,0.863,0.993,0.943
24,300,1.0,0.883,0.993,0.937,0.953,0.81,0.983,0.8,0.983,0.9,0.99,0.907,0.997,0.947
25,300,0.997,0.86,0.99,0.943,0.963,0.81,0.983,0.77,0.993,0.897,0.993,0.88,1.0,0.967
26,300,0.98,0.867,0.997,0.937,0.95,0.813,0.98,0.77,0.993,0.907,0.997,0.917,0.997,0.943
27,300,0.99,0.88,0.997,0.94,0.943,0.793,0.987,0.807,0.99,0.857,0.98,0.85,0.99,0.897
28,300,0.95,0.82,0.99,0.917,0.963,0.817,0.99,0.743,0.99,0.893,0.997,0.9,0.997,0.957
29,300,0.99,0.877,0.997,0.947,0.957,0.807,0.99,0.8,0.993,0.91,0.997,0.927,1.0,0.96
30,500,0.984,0.861,1.0,1.0,0.962,0.815,0.986,0.748,0.994,0.895,0.994,0.905,0.996,0.946
31,500,0.984,0.861,1.0,1.0,0.964,0.812,0.986,0.748,0.988,0.865,0.988,0.905,0.996,0.911
32,500,0.984,0.861,1.0,1.0,0.962,0.808,0.986,0.748,0.99,0.901,0.99,0.935,0.998,0.927
33,500,0.984,0.861,1.0,1.0,0.964,0.817,0.986,0.748,0.988,0.871,0.994,0.921,1.0,0.938
34,500,0.984,0.861,1.0,1.0,0.956,0.806,0.986,0.748,0.99,0.883,0.986,0.889,0.996,0.925
35,500,0.984,0.861,1.0,1.0,0.966,0.819,0.986,0.748,0.986,0.881,0.992,0.907,0.998,0.948
36,500,0.984,0.861,1.0,1.0,0.964,0.817,0.986,0.748,0.994,0.905,0.996,0.927,0.998,0.942
37,500,0.984,0.861,1.0,1.0,0.968,0.825,0.986,0.748,0.988,0.903,0.99,0.911,0.994,0.952
38,500,0.984,0.861,1.0,1.0,0.958,0.812,0.986,0.748,0.988,0.877,0.996,0.929,0.994,0.944
39,500,0.984,0.861,1.0,1.0,0.962,0.817,0.986,0.748,0.99,0.905,0.992,0.925,0.994,0.935
