,MLP_Tran_loss,ANN_Tran_loss,Dual Q-Net_Tran_loss,MLP_Train_AAR,ANN_Train_AAR,Dual Q-Net_Train_AAR,MLP_Train_PAR,ANN_Train_PAR,Dual Q-Net_Train_PAR,MLP_Val_loss,ANN_Val_loss,Dual Q-Net_Val_loss,MLP_Val_AAR,ANN_Val_AAR,Dual Q-Net_Val_AAR,MLP_Val_PAR,ANN_Val_PAR,Dual Q-Net_Val_PAR
0,0.235,0.242,0.251,0.642,0.59,0.576,0.17,0.139,0.091,0.2,0.248,0.225,0.675,0.472,0.732,0.0,0.01,0.16
1,0.207,0.235,0.232,0.715,0.604,0.69,0.23,0.175,0.189,0.181,0.239,0.212,0.72,0.475,0.695,0.04,0.01,0.08
2,0.189,0.23,0.211,0.76,0.641,0.709,0.293,0.219,0.233,0.16,0.231,0.194,0.797,0.597,0.743,0.32,0.01,0.21
3,0.174,0.226,0.192,0.781,0.646,0.757,0.347,0.223,0.297,0.15,0.227,0.17,0.825,0.607,0.86,0.39,0.01,0.57
4,0.161,0.221,0.173,0.828,0.667,0.785,0.453,0.214,0.364,0.143,0.219,0.149,0.83,0.632,0.892,0.4,0.01,0.71
5,0.15,0.216,0.159,0.855,0.679,0.801,0.541,0.196,0.42,0.131,0.213,0.13,0.905,0.655,0.9,0.7,0.01,0.69
6,0.141,0.211,0.148,0.872,0.692,0.815,0.591,0.243,0.431,0.125,0.209,0.121,0.922,0.673,0.902,0.75,0.07,0.69
7,0.133,0.205,0.139,0.882,0.707,0.827,0.619,0.246,0.455,0.121,0.201,0.112,0.922,0.68,0.905,0.75,0.07,0.71
8,0.126,0.2,0.131,0.892,0.725,0.84,0.646,0.285,0.493,0.113,0.197,0.105,0.933,0.673,0.917,0.79,0.08,0.73
9,0.121,0.194,0.123,0.897,0.728,0.855,0.664,0.298,0.557,0.11,0.189,0.099,0.93,0.683,0.907,0.78,0.1,0.7
10,0.115,0.189,0.111,0.898,0.732,0.876,0.669,0.303,0.599,0.106,0.185,0.091,0.922,0.7,0.907,0.74,0.1,0.7
11,0.111,0.184,0.101,0.904,0.748,0.89,0.688,0.329,0.627,0.1,0.178,0.089,0.93,0.702,0.917,0.77,0.11,0.71
12,0.107,0.179,0.093,0.906,0.753,0.9,0.694,0.336,0.666,0.096,0.174,0.086,0.933,0.705,0.922,0.78,0.11,0.73
13,0.103,0.173,0.087,0.909,0.781,0.902,0.701,0.354,0.668,0.094,0.166,0.084,0.935,0.725,0.922,0.78,0.12,0.72
14,0.1,0.167,0.083,0.914,0.79,0.909,0.711,0.379,0.687,0.089,0.159,0.08,0.933,0.73,0.933,0.77,0.15,0.75
15,0.097,0.161,0.08,0.916,0.81,0.909,0.717,0.416,0.689,0.087,0.154,0.078,0.935,0.745,0.93,0.78,0.21,0.74
