,sample,dina_aar,gdina_aar,npc_aar,gnpc_aar,mlp_aar,ann_aar,qnet_aar
0,100.0,0.935,0.852,0.834,0.854,0.946,0.952,0.978
1,100.0,0.936,0.916,0.839,0.838,0.944,0.949,0.962
2,100.0,0.951,0.886,0.854,0.902,0.954,0.966,0.975
3,100.0,0.939,0.838,0.868,0.854,0.964,0.965,0.989
4,100.0,0.946,0.905,0.861,0.904,0.96,0.952,0.981
5,100.0,0.951,0.858,0.85,0.819,0.951,0.954,0.981
6,100.0,0.931,0.914,0.856,0.838,0.958,0.96,0.986
7,100.0,0.918,0.87,0.849,0.852,0.961,0.95,0.979
8,100.0,0.941,0.864,0.854,0.88,0.961,0.95,0.979
9,100.0,0.904,0.912,0.834,0.826,0.961,0.956,0.978
10,200.0,0.976,0.894,0.846,0.872,0.966,0.956,0.975
11,200.0,0.967,0.916,0.852,0.786,0.969,0.969,0.981
12,200.0,0.932,0.901,0.846,0.841,0.964,0.966,0.972
13,200.0,0.952,0.918,0.851,0.816,0.962,0.964,0.968
14,200.0,0.939,0.86,0.864,0.842,0.963,0.966,0.968
15,200.0,0.946,0.859,0.854,0.829,0.954,0.958,0.968
16,200.0,0.976,0.833,0.849,0.852,0.964,0.966,0.973
17,200.0,0.952,0.898,0.846,0.782,0.965,0.97,0.976
18,200.0,0.962,0.859,0.858,0.842,0.949,0.953,0.97
19,200.0,0.962,0.918,0.837,0.823,0.968,0.964,0.978
20,300.0,0.982,0.881,0.853,0.825,0.971,0.97,0.975
21,300.0,0.965,0.888,0.841,0.871,0.968,0.972,0.972
22,300.0,0.982,0.866,0.838,0.837,0.968,0.97,0.971
23,300.0,0.975,0.873,0.84,0.82,0.973,0.973,0.979
24,300.0,0.965,0.854,0.841,0.828,0.971,0.971,0.975
25,300.0,0.977,0.868,0.849,0.835,0.967,0.966,0.979
26,300.0,0.952,0.889,0.844,0.822,0.972,0.975,0.97
27,300.0,0.955,0.887,0.84,0.881,0.963,0.968,0.978
28,300.0,0.97,0.878,0.854,0.79,0.968,0.966,0.976
29,300.0,0.967,0.848,0.846,0.8,0.971,0.973,0.98
30,500.0,1.0,0.896,0.845,0.801,0.963,0.966,0.975
31,500.0,1.0,0.896,0.844,0.811,0.965,0.971,0.975
32,500.0,1.0,0.896,0.844,0.845,0.971,0.97,0.972
33,500.0,1.0,0.896,0.845,0.797,0.968,0.972,0.974
34,500.0,1.0,0.896,0.846,0.772,0.968,0.969,0.972
35,500.0,1.0,0.896,0.856,0.851,0.968,0.972,0.976
36,500.0,1.0,0.896,0.844,0.799,0.965,0.967,0.973
37,500.0,1.0,0.896,0.851,0.843,0.96,0.965,0.969
38,500.0,1.0,0.896,0.847,0.809,0.963,0.967,0.965
39,500.0,1.0,0.896,0.845,0.841,0.962,0.97,0.967
