,sample,dina_aar,gdina_aar,npc_aar,gnpc_aar,mlp_aar,ann_aar,qnet_aar
0,100.0,0.997,0.993,0.99,0.99,0.983,0.99,0.997
1,100.0,0.987,0.983,0.99,0.983,0.987,0.99,0.987
2,100.0,0.98,0.98,0.993,0.987,0.99,0.993,0.993
3,100.0,0.987,0.987,0.987,0.987,0.997,1.0,1.0
4,100.0,0.987,0.987,0.98,0.98,0.987,0.987,0.99
5,100.0,0.987,0.983,0.987,0.987,0.99,0.99,0.99
6,100.0,0.993,0.993,0.99,0.997,0.997,0.997,0.997
7,100.0,0.983,0.97,0.983,0.99,0.993,0.997,0.997
8,100.0,0.997,0.997,0.997,0.99,1.0,1.0,1.0
9,100.0,0.997,1.0,0.993,0.993,1.0,1.0,1.0
10,100.0,0.987,0.98,0.98,0.98,0.99,0.99,0.993
11,100.0,0.993,0.993,0.993,0.987,0.993,0.997,0.993
12,100.0,0.99,0.973,0.977,0.977,0.997,0.997,0.997
13,100.0,0.993,0.987,0.987,0.987,0.993,0.997,0.997
14,100.0,0.99,0.993,0.987,0.993,0.99,0.99,0.997
15,100.0,0.99,0.99,0.987,0.983,0.99,0.99,0.993
16,100.0,0.997,0.993,0.99,0.997,0.993,0.997,0.993
17,100.0,0.993,0.99,0.987,0.987,0.99,0.993,0.993
18,100.0,0.993,0.993,0.993,0.993,0.993,0.993,0.99
19,100.0,0.987,0.953,0.973,0.973,0.99,0.997,0.997
20,200.0,0.997,0.997,0.997,0.993,0.988,0.995,0.997
21,200.0,0.998,0.992,0.998,0.992,0.997,1.0,0.997
22,200.0,0.992,0.992,0.987,0.988,0.995,0.995,0.995
23,200.0,0.99,0.993,0.987,0.987,0.997,0.997,0.998
24,200.0,0.992,0.99,0.987,0.985,0.993,0.995,0.995
25,200.0,0.99,0.99,0.987,0.983,0.995,0.995,0.997
26,200.0,0.99,0.99,0.988,0.985,0.99,0.99,0.99
27,200.0,0.992,0.982,0.985,0.982,0.993,0.995,0.997
28,200.0,0.992,0.99,0.978,0.985,0.99,0.992,0.988
29,200.0,0.995,0.995,0.992,0.992,0.997,0.997,0.998
30,200.0,0.993,0.993,0.99,0.99,0.992,0.993,0.995
31,200.0,0.993,0.993,0.988,0.992,0.993,0.997,0.995
32,200.0,0.995,0.995,0.993,0.997,0.993,0.997,0.997
33,200.0,0.997,0.993,0.993,0.99,0.992,0.995,0.997
34,200.0,0.992,0.993,0.988,0.988,0.995,0.995,0.992
35,200.0,0.995,0.985,0.985,0.992,0.995,0.995,0.997
36,200.0,0.977,0.977,0.983,0.987,0.99,0.992,0.993
37,200.0,0.99,0.98,0.982,0.985,0.99,0.992,0.995
38,200.0,0.993,0.993,0.993,0.987,0.997,0.997,0.997
39,200.0,0.997,0.987,0.992,0.99,0.997,0.997,0.997
40,300.0,0.98,0.981,0.984,0.982,0.989,0.991,0.993
41,300.0,0.99,0.986,0.996,0.991,0.992,0.996,0.998
42,300.0,0.991,0.99,0.988,0.99,0.991,0.991,0.991
43,300.0,0.99,0.989,0.986,0.986,0.986,0.99,0.99
44,300.0,0.992,0.992,0.986,0.992,0.991,0.993,0.996
45,300.0,0.987,0.987,0.983,0.986,0.989,0.993,0.993
46,300.0,0.989,0.989,0.983,0.986,0.986,0.992,0.992
47,300.0,0.994,0.992,0.99,0.992,0.994,0.997,0.998
48,300.0,0.993,0.993,0.989,0.987,0.989,0.993,0.994
49,300.0,0.993,0.99,0.993,0.991,0.991,0.993,0.994
50,300.0,0.997,0.982,0.988,0.988,0.993,0.998,0.999
51,300.0,0.979,0.982,0.986,0.99,0.989,0.992,0.992
52,300.0,0.988,0.988,0.989,0.989,0.988,0.991,0.992
53,300.0,0.991,0.991,0.987,0.984,0.991,0.992,0.996
54,300.0,0.993,0.993,0.992,0.992,0.994,0.998,0.999
55,300.0,0.996,0.996,0.993,0.989,0.996,0.996,0.996
56,300.0,0.981,0.992,0.986,0.983,0.994,0.994,0.996
57,300.0,0.992,0.991,0.989,0.991,0.992,0.996,0.994
58,300.0,0.99,0.991,0.981,0.986,0.989,0.993,0.992
59,300.0,0.996,0.993,0.994,0.991,0.988,0.992,0.992
60,500.0,0.993,0.992,0.987,0.987,0.991,0.992,0.995
61,500.0,0.992,0.992,0.984,0.987,0.993,0.995,0.995
62,500.0,0.991,0.991,0.985,0.985,0.991,0.994,0.995
63,500.0,0.995,0.992,0.992,0.989,0.993,0.996,0.996
64,500.0,0.994,0.993,0.989,0.99,0.993,0.995,0.996
65,500.0,0.993,0.993,0.986,0.989,0.989,0.994,0.995
66,500.0,0.993,0.991,0.985,0.99,0.99,0.994,0.994
67,500.0,0.993,0.993,0.982,0.989,0.989,0.992,0.994
68,500.0,0.989,0.989,0.989,0.986,0.989,0.993,0.994
69,500.0,0.991,0.992,0.989,0.987,0.993,0.995,0.995
70,500.0,0.994,0.992,0.988,0.99,0.993,0.995,0.995
71,500.0,0.993,0.993,0.987,0.987,0.992,0.994,0.995
72,500.0,0.992,0.991,0.989,0.989,0.989,0.994,0.993
73,500.0,0.991,0.991,0.987,0.989,0.991,0.995,0.995
74,500.0,0.993,0.993,0.985,0.99,0.991,0.995,0.995
75,500.0,0.993,0.993,0.989,0.987,0.989,0.993,0.995
76,500.0,0.994,0.994,0.987,0.989,0.992,0.995,0.993
77,500.0,0.993,0.991,0.993,0.99,0.99,0.994,0.995
78,500.0,0.991,0.99,0.986,0.986,0.987,0.992,0.993
79,500.0,0.992,0.992,0.988,0.988,0.988,0.993,0.994
