,sample,dina_par_0,dina_par_1,gdina_par_0,gdina_par_1,npc_par_0,npc_par_1,gnpc_par_0,gnpc_par_1,mlp_par_0,mlp_par_1,ann_par_0,ann_par_1,qnet_par_0,qnet_par_1
0,100,1.0,0.99,1.0,0.98,0.99,0.98,0.99,0.98,1.0,0.95,1.0,0.97,1.0,0.99
1,100,1.0,0.96,0.99,0.96,1.0,0.97,0.99,0.96,1.0,0.96,1.0,0.97,1.0,0.96
2,100,0.98,0.96,0.98,0.96,1.0,0.98,0.99,0.97,1.0,0.97,1.0,0.98,1.0,0.98
3,100,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,1.0,0.99,1.0,1.0,1.0,1.0
4,100,1.0,0.96,1.0,0.96,0.99,0.95,0.99,0.95,1.0,0.96,1.0,0.96,1.0,0.97
5,100,1.0,0.96,1.0,0.95,1.0,0.96,1.0,0.96,1.0,0.97,1.0,0.97,1.0,0.97
6,100,1.0,0.98,1.0,0.98,0.99,0.98,1.0,0.99,1.0,0.99,1.0,0.99,1.0,0.99
7,100,0.98,0.97,0.98,0.93,0.98,0.97,0.99,0.98,1.0,0.98,1.0,0.99,1.0,0.99
8,100,1.0,0.99,1.0,0.99,1.0,0.99,0.99,0.98,1.0,1.0,1.0,1.0,1.0,1.0
9,100,1.0,0.99,1.0,1.0,0.99,0.99,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0
10,100,0.99,0.97,0.99,0.95,0.98,0.96,0.98,0.96,1.0,0.97,1.0,0.97,1.0,0.98
11,100,1.0,0.98,1.0,0.98,1.0,0.98,0.99,0.97,1.0,0.98,1.0,0.99,1.0,0.98
12,100,1.0,0.97,0.98,0.94,0.98,0.95,0.98,0.95,1.0,0.99,1.0,0.99,1.0,0.99
13,100,1.0,0.98,0.99,0.97,0.99,0.97,0.99,0.97,1.0,0.98,1.0,0.99,1.0,0.99
14,100,1.0,0.97,1.0,0.98,0.99,0.97,1.0,0.98,1.0,0.97,1.0,0.97,1.0,0.99
15,100,1.0,0.97,1.0,0.97,1.0,0.96,0.99,0.96,1.0,0.97,1.0,0.97,1.0,0.98
16,100,1.0,0.99,1.0,0.98,0.99,0.98,1.0,0.99,1.0,0.98,1.0,0.99,1.0,0.98
17,100,1.0,0.98,1.0,0.97,0.99,0.97,0.99,0.97,1.0,0.97,1.0,0.98,1.0,0.98
18,100,1.0,0.98,1.0,0.98,1.0,0.98,1.0,0.98,1.0,0.98,1.0,0.98,1.0,0.97
19,100,0.99,0.97,0.98,0.88,0.97,0.95,0.97,0.95,1.0,0.97,1.0,0.99,1.0,0.99
20,200,1.0,0.99,1.0,0.99,1.0,0.99,0.995,0.985,1.0,0.965,1.0,0.985,1.0,0.99
21,200,1.0,0.995,0.99,0.985,1.0,0.995,0.99,0.985,1.0,0.99,1.0,1.0,1.0,0.99
22,200,1.0,0.975,1.0,0.975,0.995,0.965,0.995,0.97,1.0,0.985,1.0,0.985,1.0,0.985
23,200,1.0,0.97,1.0,0.98,0.99,0.97,0.99,0.97,1.0,0.99,1.0,0.99,1.0,0.995
24,200,1.0,0.975,1.0,0.97,0.995,0.965,0.99,0.965,1.0,0.98,1.0,0.985,1.0,0.985
25,200,1.0,0.97,1.0,0.97,0.995,0.965,0.99,0.96,1.0,0.985,1.0,0.985,1.0,0.99
26,200,1.0,0.97,1.0,0.97,1.0,0.965,0.995,0.96,1.0,0.97,1.0,0.97,1.0,0.97
27,200,1.0,0.975,0.98,0.965,0.985,0.97,0.98,0.965,1.0,0.98,1.0,0.985,1.0,0.99
28,200,1.0,0.975,1.0,0.97,0.98,0.955,0.99,0.965,1.0,0.97,1.0,0.975,1.0,0.965
29,200,1.0,0.985,1.0,0.985,0.995,0.98,0.995,0.98,1.0,0.99,1.0,0.99,1.0,0.995
30,200,1.0,0.98,1.0,0.98,0.995,0.975,0.995,0.975,1.0,0.975,1.0,0.98,1.0,0.985
31,200,1.0,0.98,1.0,0.98,0.99,0.975,0.995,0.98,1.0,0.98,1.0,0.99,1.0,0.985
32,200,1.0,0.985,1.0,0.985,0.995,0.985,1.0,0.99,1.0,0.98,1.0,0.99,1.0,0.99
33,200,1.0,0.99,1.0,0.98,0.995,0.985,0.99,0.98,1.0,0.975,1.0,0.985,1.0,0.99
34,200,1.0,0.975,1.0,0.98,0.99,0.975,0.99,0.975,1.0,0.985,1.0,0.985,1.0,0.975
