,MLP_Tran_loss,ANN_Tran_loss,Dual Q-Net_Tran_loss,MLP_Train_AAR,ANN_Train_AAR,Dual Q-Net_Train_AAR,MLP_Train_PAR,ANN_Train_PAR,Dual Q-Net_Train_PAR,MLP_Val_loss,ANN_Val_loss,Dual Q-Net_Val_loss,MLP_Val_AAR,ANN_Val_AAR,Dual Q-Net_Val_AAR,MLP_Val_PAR,ANN_Val_PAR,Dual Q-Net_Val_PAR
0,0.263,0.253,0.247,0.481,0.581,0.512,0.0,0.062,0.031,0.274,0.236,0.253,0.446,0.692,0.486,0.01,0.11,0.01
1,0.256,0.252,0.247,0.525,0.6,0.519,0.0,0.031,0.031,0.262,0.237,0.251,0.482,0.69,0.49,0.0,0.12,0.01
2,0.249,0.25,0.244,0.538,0.6,0.538,0.031,0.031,0.062,0.252,0.238,0.249,0.536,0.72,0.506,0.05,0.18,0.01
3,0.242,0.248,0.242,0.575,0.594,0.544,0.031,0.062,0.062,0.244,0.239,0.247,0.6,0.686,0.51,0.08,0.11,0.01
4,0.236,0.247,0.239,0.613,0.606,0.556,0.094,0.062,0.062,0.237,0.239,0.244,0.61,0.682,0.494,0.09,0.12,0.01
5,0.23,0.246,0.236,0.669,0.631,0.575,0.156,0.062,0.031,0.232,0.24,0.242,0.61,0.67,0.484,0.09,0.12,0.01
6,0.224,0.245,0.234,0.719,0.631,0.588,0.219,0.062,0.031,0.226,0.24,0.24,0.622,0.666,0.486,0.1,0.11,0.02
7,0.219,0.243,0.231,0.756,0.706,0.613,0.25,0.156,0.031,0.221,0.241,0.238,0.626,0.654,0.48,0.1,0.03,0.02
8,0.213,0.242,0.227,0.762,0.7,0.644,0.281,0.125,0.062,0.217,0.24,0.237,0.624,0.63,0.476,0.11,0.01,0.02
9,0.208,0.241,0.224,0.812,0.75,0.656,0.312,0.281,0.062,0.212,0.24,0.236,0.624,0.592,0.474,0.11,0.02,0.02
10,0.203,0.24,0.221,0.844,0.7,0.675,0.406,0.25,0.125,0.208,0.24,0.235,0.636,0.546,0.472,0.13,0.02,0.02
11,0.198,0.239,0.218,0.887,0.681,0.713,0.594,0.188,0.188,0.205,0.239,0.234,0.642,0.542,0.484,0.13,0.02,0.03
12,0.193,0.238,0.215,0.931,0.663,0.738,0.688,0.156,0.281,0.201,0.238,0.234,0.638,0.542,0.516,0.13,0.02,0.06
13,0.188,0.237,0.211,0.944,0.65,0.75,0.75,0.125,0.281,0.199,0.238,0.233,0.638,0.552,0.556,0.13,0.03,0.08
14,0.183,0.236,0.208,0.944,0.656,0.756,0.75,0.125,0.219,0.196,0.236,0.232,0.638,0.558,0.564,0.13,0.03,0.1
15,0.179,0.234,0.204,0.95,0.663,0.762,0.781,0.094,0.219,0.194,0.235,0.231,0.642,0.574,0.58,0.13,0.04,0.11
16,0.174,0.233,0.201,0.969,0.681,0.788,0.875,0.094,0.312,0.192,0.234,0.231,0.64,0.582,0.582,0.13,0.07,0.11
17,0.17,0.232,0.197,0.969,0.694,0.794,0.875,0.156,0.312,0.19,0.233,0.231,0.636,0.588,0.584,0.13,0.09,0.11
18,0.166,0.231,0.194,0.969,0.688,0.788,0.875,0.156,0.281,0.189,0.232,0.231,0.634,0.602,0.59,0.13,0.1,0.11
19,0.162,0.229,0.19,0.969,0.694,0.806,0.875,0.156,0.281,0.188,0.23,0.231,0.64,0.618,0.592,0.13,0.1,0.11
20,0.159,0.228,0.187,0.981,0.719,0.812,0.906,0.188,0.344,0.187,0.229,0.232,0.632,0.624,0.592,0.12,0.1,0.11
21,0.155,0.227,0.183,0.981,0.731,0.825,0.906,0.219,0.375,0.187,0.228,0.233,0.638,0.624,0.594,0.12,0.1,0.1
22,0.152,0.225,0.18,0.981,0.731,0.838,0.906,0.219,0.406,0.187,0.226,0.233,0.64,0.638,0.596,0.12,0.11,0.1
23,0.149,0.224,0.176,0.981,0.744,0.844,0.906,0.25,0.438,0.187,0.225,0.234,0.638,0.65,0.606,0.12,0.12,0.1
24,0.145,0.223,0.172,0.981,0.756,0.85,0.906,0.281,0.438,0.188,0.224,0.235,0.632,0.654,0.606,0.12,0.11,0.1
25,0.142,0.221,0.169,0.988,0.769,0.863,0.938,0.312,0.5,0.189,0.222,0.237,0.632,0.658,0.608,0.12,0.11,0.1
26,0.139,0.22,0.165,0.988,0.762,0.869,0.938,0.281,0.5,0.191,0.221,0.239,0.626,0.664,0.61,0.11,0.11,0.1
27,0.137,0.218,0.161,0.994,0.775,0.863,0.969,0.281,0.5,0.192,0.22,0.241,0.624,0.682,0.606,0.11,0.11,0.1
28,0.134,0.217,0.158,0.994,0.781,0.863,0.969,0.281,0.5,0.194,0.219,0.243,0.622,0.696,0.604,0.11,0.12,0.1
29,0.131,0.215,0.154,0.994,0.781,0.856,0.969,0.312,0.5,0.195,0.218,0.246,0.622,0.7,0.604,0.11,0.13,0.1
30,0.129,0.214,0.15,0.994,0.794,0.863,0.969,0.281,0.5,0.197,0.216,0.248,0.622,0.7,0.602,0.11,0.13,0.1
31,0.126,0.212,0.147,1.0,0.8,0.869,1.0,0.281,0.5,0.198,0.215,0.249,0.622,0.706,0.604,0.11,0.13,0.1
32,0.124,0.211,0.143,1.0,0.8,0.869,1.0,0.281,0.5,0.2,0.214,0.251,0.622,0.712,0.604,0.11,0.13,0.1
33,0.122,0.209,0.139,1.0,0.825,0.881,1.0,0.281,0.562,0.201,0.213,0.253,0.622,0.714,0.612,0.11,0.14,0.1
34,0.119,0.208,0.136,1.0,0.825,0.881,1.0,0.281,0.562,0.202,0.212,0.255,0.62,0.718,0.614,0.11,0.15,0.1
35,0.117,0.206,0.132,1.0,0.825,0.887,1.0,0.281,0.562,0.204,0.211,0.256,0.62,0.72,0.614,0.11,0.15,0.1
