,sample,dina_aar,gdina_aar,npc_aar,gnpc_aar,mlp_aar,ann_aar,qnet_aar
0,100.0,0.88,0.837,0.847,0.853,0.89,0.903,0.893
1,100.0,0.87,0.857,0.857,0.863,0.89,0.9,0.897
2,100.0,0.82,0.76,0.827,0.817,0.887,0.877,0.897
3,100.0,0.797,0.863,0.84,0.817,0.867,0.877,0.9
4,100.0,0.797,0.783,0.863,0.827,0.867,0.87,0.867
5,100.0,0.897,0.787,0.87,0.87,0.89,0.913,0.907
6,100.0,0.817,0.823,0.82,0.833,0.88,0.883,0.893
7,100.0,0.827,0.86,0.86,0.847,0.897,0.893,0.917
8,100.0,0.86,0.83,0.853,0.833,0.863,0.88,0.903
9,100.0,0.883,0.787,0.857,0.85,0.907,0.9,0.913
10,100.0,0.873,0.833,0.88,0.863,0.907,0.893,0.897
11,100.0,0.87,0.867,0.86,0.847,0.893,0.903,0.913
12,100.0,0.827,0.757,0.85,0.843,0.857,0.877,0.887
13,100.0,0.907,0.833,0.873,0.847,0.907,0.91,0.917
14,100.0,0.86,0.75,0.87,0.863,0.893,0.903,0.893
15,100.0,0.803,0.83,0.887,0.863,0.927,0.93,0.937
16,100.0,0.84,0.78,0.863,0.85,0.893,0.89,0.92
17,100.0,0.873,0.857,0.87,0.86,0.9,0.9,0.903
18,100.0,0.807,0.763,0.833,0.827,0.897,0.9,0.897
19,100.0,0.86,0.807,0.877,0.85,0.907,0.91,0.91
20,200.0,0.902,0.888,0.885,0.87,0.903,0.908,0.922
21,200.0,0.833,0.825,0.843,0.823,0.887,0.885,0.907
22,200.0,0.9,0.853,0.863,0.867,0.897,0.898,0.897
23,200.0,0.892,0.795,0.877,0.86,0.883,0.887,0.907
24,200.0,0.868,0.842,0.858,0.84,0.892,0.897,0.897
25,200.0,0.83,0.862,0.835,0.838,0.895,0.882,0.902
26,200.0,0.857,0.768,0.852,0.833,0.868,0.882,0.893
27,200.0,0.887,0.873,0.848,0.84,0.867,0.873,0.885
28,200.0,0.885,0.792,0.857,0.84,0.883,0.892,0.887
29,200.0,0.877,0.838,0.855,0.842,0.87,0.872,0.89
30,200.0,0.87,0.865,0.877,0.862,0.868,0.882,0.905
31,200.0,0.895,0.857,0.88,0.882,0.897,0.903,0.915
32,200.0,0.85,0.777,0.837,0.833,0.885,0.887,0.91
33,200.0,0.878,0.873,0.852,0.852,0.872,0.87,0.89
34,200.0,0.878,0.84,0.857,0.855,0.888,0.9,0.903
35,200.0,0.848,0.773,0.857,0.84,0.868,0.872,0.892
36,200.0,0.872,0.858,0.868,0.863,0.882,0.882,0.893
37,200.0,0.853,0.873,0.853,0.842,0.863,0.868,0.887
38,200.0,0.862,0.797,0.847,0.843,0.868,0.867,0.878
39,200.0,0.862,0.798,0.872,0.868,0.87,0.878,0.885
40,300.0,0.884,0.861,0.858,0.863,0.877,0.881,0.879
41,300.0,0.873,0.854,0.852,0.836,0.879,0.884,0.887
42,300.0,0.882,0.847,0.867,0.859,0.882,0.889,0.891
43,300.0,0.883,0.867,0.862,0.866,0.88,0.879,0.889
44,300.0,0.902,0.823,0.869,0.858,0.889,0.894,0.907
45,300.0,0.863,0.868,0.856,0.854,0.884,0.886,0.894
46,300.0,0.874,0.873,0.841,0.827,0.869,0.88,0.882
47,300.0,0.876,0.867,0.847,0.85,0.883,0.882,0.894
48,300.0,0.897,0.806,0.864,0.851,0.884,0.884,0.894
49,300.0,0.882,0.872,0.866,0.852,0.878,0.873,0.874
50,300.0,0.873,0.868,0.858,0.85,0.876,0.881,0.884
51,300.0,0.882,0.843,0.851,0.85,0.871,0.873,0.888
52,300.0,0.887,0.821,0.861,0.866,0.864,0.874,0.864
53,300.0,0.861,0.84,0.858,0.854,0.884,0.894,0.91
54,300.0,0.873,0.8,0.841,0.838,0.859,0.859,0.874
55,300.0,0.898,0.842,0.862,0.857,0.876,0.88,0.902
56,300.0,0.877,0.876,0.858,0.866,0.879,0.878,0.894
57,300.0,0.804,0.836,0.854,0.836,0.863,0.869,0.878
58,300.0,0.86,0.807,0.847,0.849,0.877,0.879,0.888
59,300.0,0.842,0.828,0.878,0.864,0.88,0.889,0.897
60,500.0,0.9,0.897,0.862,0.862,0.891,0.893,0.9
61,500.0,0.89,0.837,0.867,0.859,0.883,0.891,0.894
62,500.0,0.893,0.819,0.861,0.848,0.879,0.88,0.894
63,500.0,0.873,0.882,0.855,0.844,0.863,0.866,0.879
64,500.0,0.888,0.875,0.857,0.845,0.873,0.871,0.886
65,500.0,0.89,0.769,0.847,0.848,0.863,0.862,0.874
66,500.0,0.893,0.889,0.846,0.858,0.872,0.879,0.889
67,500.0,0.889,0.881,0.858,0.856,0.878,0.883,0.897
68,500.0,0.901,0.859,0.851,0.854,0.881,0.881,0.883
69,500.0,0.893,0.817,0.86,0.851,0.876,0.877,0.886
70,500.0,0.896,0.866,0.86,0.853,0.886,0.891,0.895
71,500.0,0.903,0.897,0.861,0.86,0.88,0.881,0.895
72,500.0,0.901,0.893,0.865,0.857,0.869,0.883,0.879
73,500.0,0.887,0.859,0.864,0.853,0.879,0.887,0.895
74,500.0,0.891,0.811,0.866,0.859,0.878,0.879,0.888
75,500.0,0.896,0.889,0.869,0.858,0.886,0.888,0.9
76,500.0,0.895,0.804,0.865,0.856,0.881,0.883,0.903
77,500.0,0.9,0.892,0.882,0.875,0.899,0.896,0.904
78,500.0,0.893,0.881,0.847,0.853,0.873,0.873,0.884
79,500.0,0.893,0.853,0.857,0.851,0.877,0.883,0.882
