,sample,dina_par_0,dina_par_1,gdina_par_0,gdina_par_1,npc_par_0,npc_par_1,gnpc_par_0,gnpc_par_1,mlp_par_0,mlp_par_1,ann_par_0,ann_par_1,qnet_par_0,qnet_par_1
0,100,0.62,0.28,0.82,0.33,0.6,0.31,0.8,0.43,1.0,0.75,0.99,0.74,1.0,0.86
1,100,0.62,0.23,0.79,0.33,0.54,0.22,0.81,0.34,0.99,0.75,1.0,0.74,0.99,0.86
2,100,0.54,0.22,0.69,0.25,0.62,0.19,0.82,0.32,0.98,0.72,0.99,0.7,1.0,0.8
3,100,0.55,0.21,0.68,0.29,0.6,0.22,0.77,0.38,0.98,0.71,0.96,0.73,0.98,0.84
4,100,0.45,0.16,0.74,0.29,0.61,0.25,0.82,0.47,0.98,0.76,0.99,0.77,0.99,0.81
5,100,0.47,0.21,0.8,0.4,0.62,0.2,0.83,0.42,1.0,0.77,0.99,0.76,0.99,0.86
6,100,0.6,0.24,0.81,0.38,0.66,0.23,0.79,0.41,0.97,0.86,0.98,0.81,0.99,0.92
7,100,0.59,0.17,0.79,0.41,0.65,0.23,0.83,0.42,0.99,0.77,0.97,0.77,0.99,0.9
8,100,0.66,0.23,0.85,0.48,0.72,0.25,0.78,0.45,0.97,0.79,0.98,0.76,0.99,0.88
9,100,0.58,0.21,0.82,0.47,0.62,0.22,0.83,0.4,0.97,0.78,0.98,0.77,0.99,0.85
10,100,0.53,0.19,0.86,0.37,0.56,0.2,0.74,0.36,0.97,0.66,0.98,0.64,1.0,0.81
11,100,0.56,0.16,0.73,0.3,0.65,0.21,0.84,0.38,1.0,0.73,0.99,0.7,1.0,0.82
12,100,0.67,0.18,0.79,0.3,0.6,0.25,0.83,0.45,0.99,0.8,1.0,0.82,0.98,0.86
13,100,0.5,0.16,0.88,0.48,0.51,0.24,0.82,0.34,0.98,0.73,0.99,0.75,1.0,0.84
14,100,0.61,0.26,0.78,0.35,0.57,0.35,0.8,0.36,0.99,0.77,0.99,0.79,1.0,0.85
15,100,0.62,0.22,0.8,0.42,0.63,0.19,0.78,0.42,0.98,0.75,0.98,0.79,1.0,0.88
16,100,0.54,0.17,0.82,0.27,0.63,0.19,0.83,0.34,0.98,0.72,1.0,0.77,1.0,0.85
17,100,0.55,0.11,0.82,0.4,0.67,0.15,0.72,0.45,0.99,0.86,1.0,0.86,1.0,0.88
18,100,0.65,0.28,0.76,0.31,0.69,0.33,0.83,0.41,0.98,0.75,0.97,0.83,0.98,0.87
19,100,0.8,0.34,0.79,0.41,0.66,0.24,0.87,0.47,0.96,0.76,0.99,0.82,1.0,0.87
20,200,0.49,0.195,0.79,0.405,0.665,0.235,0.855,0.485,0.97,0.685,0.98,0.705,0.99,0.815
21,200,0.53,0.14,0.78,0.405,0.65,0.21,0.85,0.43,0.99,0.725,0.98,0.77,0.995,0.865
22,200,0.585,0.18,0.86,0.415,0.595,0.225,0.82,0.395,0.975,0.77,0.985,0.79,0.99,0.895
23,200,0.545,0.145,0.82,0.445,0.625,0.17,0.81,0.375,0.99,0.76,0.995,0.83,0.995,0.87
24,200,0.535,0.135,0.87,0.495,0.62,0.23,0.855,0.44,0.97,0.72,0.99,0.745,0.99,0.82
25,200,0.47,0.14,0.82,0.48,0.61,0.17,0.855,0.465,0.975,0.74,0.985,0.79,0.995,0.855
26,200,0.515,0.17,0.805,0.46,0.635,0.245,0.835,0.455,0.975,0.685,0.985,0.755,0.99,0.84
27,200,0.655,0.18,0.83,0.435,0.61,0.21,0.81,0.4,0.97,0.72,0.995,0.765,0.995,0.855
28,200,0.515,0.18,0.875,0.47,0.635,0.24,0.88,0.4,0.975,0.725,0.98,0.77,0.995,0.85
29,200,0.445,0.11,0.805,0.46,0.605,0.215,0.86,0.48,0.975,0.755,0.985,0.79,0.99,0.87
30,200,0.41,0.13,0.8,0.37,0.575,0.185,0.83,0.43,0.955,0.74,0.965,0.755,0.98,0.835
31,200,0.46,0.12,0.82,0.4,0.585,0.19,0.85,0.47,0.98,0.73,0.985,0.745,0.995,0.845
32,200,0.675,0.2,0.88,0.47,0.65,0.22,0.895,0.51,1.0,0.79,1.0,0.835,1.0,0.885
33,200,0.445,0.145,0.75,0.39,0.52,0.21,0.795,0.43,0.965,0.74,0.97,0.785,0.98,0.845
34,200,0.475,0.125,0.825,0.435,0.6,0.22,0.815,0.385,0.95,0.75,0.945,0.78,0.975,0.835
35,200,0.51,0.105,0.855,0.49,0.635,0.22,0.87,0.45,0.985,0.76,0.99,0.825,0.99,0.865
36,200,0.485,0.135,0.775,0.325,0.67,0.21,0.745,0.405,0.965,0.705,0.955,0.75,0.985,0.795
37,200,0.565,0.145,0.805,0.36,0.6,0.24,0.88,0.44,0.965,0.785,0.97,0.815,0.99,0.85
38,200,0.48,0.14,0.735,0.33,0.615,0.23,0.805,0.445,0.97,0.725,0.98,0.765,0.99,0.815
39,200,0.45,0.105,0.77,0.375,0.565,0.245,0.82,0.39,0.975,0.705,0.975,0.74,0.995,0.84
40,300,0.49,0.167,0.843,0.487,0.66,0.267,0.847,0.413,0.957,0.64,0.977,0.697,0.983,0.77
41,300,0.527,0.17,0.843,0.453,0.58,0.23,0.847,0.433,0.973,0.693,0.977,0.753,0.997,0.81
42,300,0.543,0.16,0.867,0.507,0.63,0.207,0.87,0.45,0.953,0.68,0.98,0.743,0.98,0.797
43,300,0.5,0.15,0.83,0.46,0.603,0.227,0.817,0.43,0.947,0.687,0.973,0.73,0.993,0.833
44,300,0.57,0.18,0.833,0.483,0.64,0.23,0.823,0.417,0.95,0.707,0.97,0.78,0.98,0.817
45,300,0.54,0.167,0.85,0.483,0.587,0.25,0.8,0.427,0.957,0.66,0.973,0.727,0.99,0.803
46,300,0.497,0.127,0.787,0.403,0.617,0.23,0.837,0.417,0.94,0.677,0.97,0.727,0.993,0.823
47,300,0.583,0.21,0.82,0.45,0.67,0.197,0.837,0.42,0.97,0.68,0.977,0.747,0.993,0.81
48,300,0.497,0.143,0.787,0.41,0.63,0.253,0.877,0.49,0.967,0.667,0.977,0.74,0.99,0.813
49,300,0.61,0.197,0.89,0.493,0.603,0.22,0.84,0.457,0.937,0.65,0.97,0.703,0.987,0.8
50,300,0.5,0.117,0.783,0.437,0.64,0.203,0.83,0.46,0.947,0.673,0.97,0.703,0.983,0.803
51,300,0.59,0.2,0.763,0.373,0.657,0.24,0.8,0.387,0.92,0.643,0.957,0.673,0.993,0.777
52,300,0.57,0.17,0.853,0.54,0.613,0.217,0.857,0.413,0.96,0.687,0.977,0.737,0.993,0.813
53,300,0.607,0.19,0.807,0.427,0.587,0.213,0.763,0.417,0.923,0.573,0.963,0.63,0.983,0.777
54,300,0.543,0.167,0.793,0.437,0.623,0.223,0.797,0.363,0.963,0.637,0.973,0.69,0.997,0.797
55,300,0.483,0.137,0.767,0.353,0.593,0.213,0.837,0.38,0.923,0.633,0.947,0.687,0.99,0.767
56,300,0.543,0.183,0.85,0.503,0.583,0.227,0.853,0.483,0.957,0.693,0.97,0.737,0.98,0.83
57,300,0.533,0.167,0.84,0.523,0.607,0.21,0.823,0.433,0.96,0.623,0.973,0.703,0.983,0.777
58,300,0.6,0.15,0.827,0.373,0.617,0.21,0.8,0.38,0.947,0.663,0.977,0.683,0.987,0.783
59,300,0.523,0.123,0.877,0.527,0.633,0.213,0.85,0.423,0.967,0.71,0.98,0.733,0.997,0.83
60,500,0.468,0.124,0.876,0.536,0.63,0.242,0.842,0.438,0.934,0.622,0.956,0.692,0.976,0.764
61,500,0.5,0.134,0.894,0.546,0.618,0.212,0.868,0.438,0.94,0.624,0.968,0.712,0.972,0.776
62,500,0.504,0.148,0.898,0.578,0.596,0.2,0.868,0.438,0.942,0.646,0.956,0.678,0.986,0.764
63,500,0.532,0.166,0.834,0.486,0.62,0.246,0.85,0.394,0.934,0.614,0.956,0.66,0.966,0.728
64,500,0.468,0.132,0.872,0.506,0.594,0.218,0.826,0.432,0.938,0.55,0.95,0.632,0.976,0.746
65,500,0.478,0.144,0.808,0.428,0.624,0.178,0.828,0.38,0.942,0.622,0.964,0.642,0.97,0.74
66,500,0.56,0.14,0.87,0.518,0.666,0.234,0.844,0.402,0.948,0.654,0.966,0.7,0.982,0.764
67,500,0.402,0.114,0.842,0.5,0.608,0.208,0.83,0.438,0.944,0.628,0.962,0.694,0.97,0.766
68,500,0.516,0.148,0.892,0.518,0.61,0.222,0.844,0.422,0.952,0.638,0.972,0.704,0.974,0.754
