,MLP_Tran_loss,ANN_Tran_loss,Dual Q-Net_Tran_loss,MLP_Train_AAR,ANN_Train_AAR,Dual Q-Net_Train_AAR,MLP_Train_PAR,ANN_Train_PAR,Dual Q-Net_Train_PAR,MLP_Val_loss,ANN_Val_loss,Dual Q-Net_Val_loss,MLP_Val_AAR,ANN_Val_AAR,Dual Q-Net_Val_AAR,MLP_Val_PAR,ANN_Val_PAR,Dual Q-Net_Val_PAR
0,0.238,0.26,0.253,0.588,0.5,0.556,0.062,0.031,0.031,0.235,0.243,0.245,0.58,0.506,0.556,0.1,0.0,0.0
1,0.231,0.258,0.249,0.681,0.5,0.556,0.094,0.031,0.031,0.233,0.241,0.244,0.57,0.506,0.546,0.09,0.0,0.0
2,0.225,0.256,0.247,0.756,0.531,0.544,0.219,0.062,0.031,0.232,0.24,0.244,0.566,0.504,0.53,0.08,0.0,0.0
3,0.219,0.253,0.245,0.8,0.55,0.562,0.312,0.031,0.062,0.23,0.239,0.245,0.568,0.512,0.522,0.08,0.0,0.0
4,0.213,0.251,0.242,0.838,0.55,0.569,0.406,0.031,0.062,0.227,0.238,0.247,0.576,0.542,0.5,0.08,0.02,0.0
5,0.207,0.249,0.239,0.875,0.581,0.569,0.562,0.031,0.031,0.225,0.237,0.249,0.574,0.598,0.46,0.08,0.06,0.0
6,0.202,0.247,0.236,0.894,0.569,0.581,0.594,0.062,0.031,0.223,0.237,0.251,0.576,0.658,0.424,0.08,0.12,0.0
7,0.197,0.246,0.233,0.919,0.619,0.613,0.656,0.094,0.125,0.22,0.236,0.254,0.578,0.694,0.41,0.08,0.17,0.0
8,0.192,0.244,0.23,0.925,0.637,0.65,0.688,0.062,0.125,0.218,0.236,0.257,0.586,0.71,0.416,0.08,0.2,0.0
9,0.187,0.243,0.226,0.931,0.656,0.681,0.688,0.094,0.156,0.216,0.236,0.26,0.594,0.718,0.414,0.09,0.21,0.0
10,0.182,0.241,0.223,0.938,0.675,0.694,0.719,0.125,0.125,0.215,0.236,0.263,0.598,0.74,0.434,0.1,0.2,0.0
11,0.177,0.24,0.22,0.95,0.713,0.713,0.75,0.156,0.094,0.213,0.236,0.266,0.596,0.75,0.446,0.1,0.23,0.01
12,0.173,0.239,0.217,0.963,0.719,0.719,0.812,0.188,0.094,0.213,0.237,0.269,0.6,0.72,0.478,0.11,0.16,0.03
13,0.169,0.238,0.214,0.969,0.725,0.738,0.844,0.188,0.125,0.212,0.237,0.271,0.598,0.704,0.496,0.11,0.13,0.04
14,0.165,0.236,0.21,0.969,0.744,0.738,0.844,0.219,0.125,0.213,0.237,0.272,0.596,0.68,0.502,0.11,0.12,0.06
15,0.161,0.235,0.207,0.981,0.762,0.744,0.906,0.25,0.125,0.213,0.237,0.274,0.59,0.658,0.506,0.11,0.08,0.09
16,0.157,0.234,0.204,0.988,0.769,0.738,0.938,0.281,0.125,0.215,0.237,0.276,0.59,0.652,0.512,0.12,0.09,0.09
17,0.154,0.233,0.201,0.994,0.775,0.756,0.969,0.312,0.156,0.216,0.237,0.277,0.594,0.64,0.512,0.12,0.09,0.09
18,0.15,0.232,0.198,0.994,0.788,0.769,0.969,0.375,0.156,0.218,0.237,0.278,0.592,0.634,0.51,0.12,0.08,0.09
19,0.147,0.23,0.195,0.994,0.788,0.775,0.969,0.375,0.156,0.22,0.237,0.28,0.588,0.622,0.51,0.11,0.08,0.09
20,0.144,0.229,0.192,0.994,0.806,0.794,0.969,0.406,0.219,0.221,0.237,0.281,0.582,0.618,0.51,0.11,0.07,0.09
21,0.14,0.228,0.189,0.994,0.806,0.8,0.969,0.406,0.25,0.223,0.237,0.283,0.578,0.616,0.51,0.11,0.08,0.09
22,0.138,0.226,0.186,0.994,0.819,0.819,0.969,0.438,0.281,0.225,0.237,0.284,0.57,0.616,0.51,0.11,0.08,0.09
23,0.135,0.225,0.183,0.994,0.819,0.812,0.969,0.469,0.25,0.227,0.236,0.286,0.568,0.612,0.51,0.11,0.08,0.09
24,0.132,0.224,0.18,1.0,0.806,0.819,1.0,0.406,0.281,0.228,0.236,0.288,0.564,0.608,0.51,0.11,0.08,0.09
25,0.129,0.222,0.177,1.0,0.812,0.819,1.0,0.438,0.281,0.23,0.235,0.29,0.564,0.604,0.51,0.11,0.09,0.09
26,0.127,0.221,0.174,1.0,0.812,0.831,1.0,0.438,0.312,0.231,0.234,0.292,0.564,0.602,0.508,0.11,0.09,0.09
27,0.124,0.22,0.171,1.0,0.806,0.838,1.0,0.438,0.312,0.233,0.234,0.294,0.562,0.6,0.51,0.11,0.08,0.09
28,0.122,0.218,0.168,1.0,0.806,0.844,1.0,0.438,0.344,0.234,0.233,0.296,0.562,0.598,0.512,0.11,0.08,0.09
29,0.12,0.217,0.165,1.0,0.8,0.831,1.0,0.438,0.344,0.235,0.232,0.297,0.562,0.596,0.514,0.11,0.08,0.09
30,0.117,0.216,0.162,1.0,0.812,0.825,1.0,0.469,0.312,0.237,0.231,0.299,0.564,0.594,0.514,0.11,0.08,0.09
31,0.115,0.214,0.159,1.0,0.819,0.831,1.0,0.469,0.312,0.238,0.23,0.3,0.566,0.592,0.514,0.11,0.08,0.09
32,0.113,0.213,0.157,1.0,0.819,0.831,1.0,0.469,0.312,0.24,0.23,0.302,0.568,0.592,0.512,0.11,0.08,0.09
33,0.111,0.211,0.154,1.0,0.819,0.825,1.0,0.469,0.312,0.241,0.229,0.303,0.568,0.588,0.516,0.11,0.08,0.09
34,0.109,0.21,0.151,1.0,0.825,0.825,1.0,0.469,0.312,0.243,0.228,0.304,0.568,0.582,0.518,0.11,0.08,0.09
35,0.107,0.209,0.148,1.0,0.831,0.825,1.0,0.469,0.312,0.244,0.227,0.305,0.57,0.574,0.52,0.11,0.08,0.09
